geoid,market_share,school_age_kids_in_tract,test_sfh_pct,median_gross_rent,median_owner_cost_mortgage,percent_owner_occupied,percent_renter_occupied
37119005522,61,1084,49,1376,1414,32,68
37119005525,52,1081,67,1515,1340,58,42
37119005526,62,407,86,1877,1575,90,10
37119005527,43,764,54,1103,1570,56,44
37119005528,82,882,47,1231,1575,51,49
37119005529,62,390,43,1603,1620,33,67
37119005530,77,828,72,1547,1658,72,28
37119005531,42,1513,61,1238,1605,57,43
37119005532,55,523,2,1222,1522,19,81
37119005533,62,178,11,1366,NA,12,88
37119005534,45,833,2,1242,1347,5,95
37119005535,69,878,34,1220,1295,23,77
37119005536,88,854,44,1440,1172,43,57
37119005604,15,38,25,826,1333,21,79
37119005609,88,301,0,875,NA,6,94
37119005610,62,490,53,1077,1250,43,57
37119005611,66,687,64,1293,1253,56,44
37119005612,77,1348,73,1437,1256,73,27
37119005613,57,1205,78,1293,1743,72,28
37119005615,63,640,97,1837,1671,88,12
37119005616,56,893,77,1744,1122,61,39
37119005617,62,681,99,1217,1290,91,9
37119005618,55,777,97,1562,1630,82,18
37119005619,62,1342,92,1614,1348,86,14
37119005621,51,1766,92,1537,1445,79,21
37119005622,70,480,18,902,1153,16,84
37119005623,61,530,21,1216,1603,18,82
37119005624,62,465,93,1693,1334,85,15
37119005625,45,1242,79,1811,1455,82,18
37119005626,72,953,98,1498,1406,78,22
37119005627,61,3053,85,1456,1347,79,21
37119005709,64,614,46,1458,1628,53,47
37119005710,81,1173,57,1098,1232,48,52
37119005712,77,749,97,1453,1444,90,10
37119005713,59,1055,94,1411,1842,92,8
37119005714,62,1219,97,1398,2012,93,7
37119005715,46,702,97,1155,1581,93,7
37119005716,53,1617,79,1380,1343,78,22
37119005718,58,629,90,1398,1350,82,18
37119005719,79,516,91,862,1488,82,18
37119005720,56,344,91,1131,1765,83,17
37119005721,57,499,71,2006,1462,72,28
37119005722,62,441,96,1628,1445,91,9
37119005723,62,762,29,1308,1161,35,65
37119005811,33,1071,75,1344,1246,79,21
37119005815,51,771,51,1285,2367,66,34
37119005816,51,833,71,1383,2561,81,19
37119005817,61,1149,70,1589,2247,81,19
37119005824,76,1826,58,1256,1831,63,37
37119005826,70,663,78,1611,1219,67,33
37119005827,62,396,22,1147,989,36,64
37119005828,34,731,51,1313,1515,82,18
37119005829,62,464,1,1153,1375,11,89
37119005830,60,832,79,1313,1213,74,26
37119005832,55,1003,68,1298,2906,69,31
37119005833,48,1028,72,2865,1895,77,23
37119005834,73,1057,84,1403,1687,62,38
37119005835,57,691,91,1100,1656,88,12
37119005836,62,735,87,2040,1389,88,12
37119005839,71,486,46,1262,1963,46,54
37119005840,87,456,62,1685,2084,65,35
37119005843,73,881,72,1862,2031,75,25
37119005845,86,1483,55,1745,2165,62,38
37119005846,56,1037,93,NA,2817,100,0
37119005847,50,1254,65,1712,2413,77,23
37119005848,61,1351,96,NA,2350,98,2
37119005849,73,723,87,1946,1932,88,12
37119005850,62,395,45,1714,3107,45,55
37119005851,80,1182,87,1773,1888,84,16
37119005852,62,188,36,1182,2027,38,62
37119005853,42,335,10,1248,1188,25,75
37119005854,62,338,37,1550,2136,27,73
37119005855,69,1332,49,1666,2278,66,34
37119005856,62,582,49,1750,2159,61,39
37119005857,62,237,22,1454,1680,85,15
37119005858,92,1570,35,1752,1598,41,59
37119005859,95,591,46,1664,2294,62,38
37119005860,72,1330,47,1634,2830,46,54
37119005861,62,642,60,1711,1575,72,28
37119005862,73,581,85,1944,1862,85,15
37119005863,73,1243,78,1832,1964,71,29
37119005864,89,1089,79,1836,2431,73,27
37119005865,77,417,66,1159,1957,75,25
37119005866,62,619,0,1257,957,2,98
37119005867,62,662,18,1372,1261,32,68
37119005868,28,556,53,1041,1160,61,39
37119005908,90,269,79,885,2252,88,12
37119005910,58,1600,52,1359,1519,40,60
37119005913,62,1512,75,1303,1257,69,31
37119005915,65,382,3,1426,1642,14,86
37119005916,80,799,42,1128,1009,29,71
37119005918,66,1620,99,1689,1545,80,20
37119005919,55,988,55,735,1515,75,25
37119005920,62,1115,44,790,1334,44,56
37119005921,61,735,52,1619,2041,60,40
37119005922,62,1178,89,1998,1817,84,16
37119005923,58,1552,52,1445,1638,42,58
37119005924,59,1844,91,1737,1828,79,21
37119005925,67,952,100,2267,1767,88,12
37119005926,76,1630,99,3075,2470,92,8
37119005927,51,1609,36,1474,1218,42,58
37119005928,75,263,94,NA,1235,85,15
37119005929,55,914,40,1617,1554,71,29
37119005930,80,589,26,1330,1521,38,62
37119005931,88,719,53,1324,1548,64,36
37119005932,64,633,44,1276,1543,71,29
37119006005,69,921,87,788,1238,82,18
37119006008,62,376,92,1500,1236,75,25
37119006009,61,953,90,1313,1211,73,27
37119006011,62,654,92,1055,1090,73,27
37119006012,89,1236,97,1347,1207,83,17
37119006013,85,1364,98,1364,1381,82,18
37119006014,44,1022,85,1807,1627,82,18
37119006015,66,982,94,1767,1318,86,14
37119006016,62,814,85,1228,1020,47,53
37119006103,69,710,56,1287,2168,55,45
37119006105,65,725,97,1652,1558,72,28
37119006108,72,1222,85,1513,1205,79,21
37119006109,62,748,76,1033,1191,51,49
37119006110,79,1557,93,1618,1198,67,33
37119006111,94,818,92,1181,1373,66,34
37119006112,77,574,20,1407,1072,32,68
37119006113,62,346,41,1302,1360,54,46
37119006114,62,1064,59,1408,1157,59,41
37119006115,29,805,7,1304,NA,0,100
37119006208,41,922,37,1363,1898,46,54
37119006209,39,1170,27,1390,1780,33,67
37119006210,50,1145,87,1719,1908,75,25
37119006211,41,1871,91,1464,2036,90,10
37119006212,61,927,54,1473,1821,54,46
37119006214,56,1005,99,1764,1628,93,7
