GEOID,NAME,RentHH,CBrent
53033008401,Census Tract 84.01; King County; Washington,2291,747
53033008402,Census Tract 84.02; King County; Washington,2297,1142
53033008500,Census Tract 85; King County; Washington,1800,633
53033008600,Census Tract 86; King County; Washington,2845,1294
53033008700,Census Tract 87; King County; Washington,991,343
53033008800,Census Tract 88; King County; Washington,825,318
53033008900,Census Tract 89; King County; Washington,1138,449
53033009000,Census Tract 90; King County; Washington,1829,802
53033009100,Census Tract 91; King County; Washington,1940,980
53033009200,Census Tract 92; King County; Washington,2028,1050
53033009300,Census Tract 93; King County; Washington,1004,427
53033009400,Census Tract 94; King County; Washington,1857,783
53033009500,Census Tract 95; King County; Washington,1377,638
53033009600,Census Tract 96; King County; Washington,950,304
53033009701,Census Tract 97.01; King County; Washington,1277,457
53033009702,Census Tract 97.02; King County; Washington,608,224
53033009801,Census Tract 98.01; King County; Washington,648,357
53033009802,Census Tract 98.02; King County; Washington,869,473
53033009900,Census Tract 99; King County; Washington,1404,594
53033010001,Census Tract 100.01; King County; Washington,984,556
53033010002,Census Tract 100.02; King County; Washington,1009,565
53033010101,Census Tract 101.01; King County; Washington,1103,665
53033010102,Census Tract 101.02; King County; Washington,623,212
53033010200,Census Tract 102; King County; Washington,229,35
53033010301,Census Tract 103.01; King County; Washington,521,276
53033010302,Census Tract 103.02; King County; Washington,1236,519
53033010401,Census Tract 104.01; King County; Washington,410,110
53033010402,Census Tract 104.02; King County; Washington,418,51
53033010501,Census Tract 105.01; King County; Washington,1626,457
53033010502,Census Tract 105.02; King County; Washington,1933,741
53033010601,Census Tract 106.01; King County; Washington,739,221
53033010602,Census Tract 106.02; King County; Washington,805,438
53033010701,Census Tract 107.01; King County; Washington,873,422
53033010702,Census Tract 107.02; King County; Washington,1034,488
53033010800,Census Tract 108; King County; Washington,433,181
53033010900,Census Tract 109; King County; Washington,283,140
53033011001,Census Tract 110.01; King County; Washington,1064,627
53033011002,Census Tract 110.02; King County; Washington,498,204
53033011101,Census Tract 111.01; King County; Washington,1209,619
53033011102,Census Tract 111.02; King County; Washington,927,418
53033011200,Census Tract 112; King County; Washington,794,477
53033011300,Census Tract 113; King County; Washington,995,695
53033011401,Census Tract 114.01; King County; Washington,885,381
53033011402,Census Tract 114.02; King County; Washington,855,229
53033011500,Census Tract 115; King County; Washington,579,359
53033011601,Census Tract 116.01; King County; Washington,239,79
53033011602,Census Tract 116.02; King County; Washington,393,187
53033011700,Census Tract 117; King County; Washington,530,231
53033011801,Census Tract 118.01; King County; Washington,487,218
53033011802,Census Tract 118.02; King County; Washington,1061,581
53033011901,Census Tract 119.01; King County; Washington,382,200
53033011902,Census Tract 119.02; King County; Washington,160,72
53033012000,Census Tract 120; King County; Washington,265,85
53033012100,Census Tract 121; King County; Washington,111,62
53033020100,Census Tract 201; King County; Washington,139,26
53033020200,Census Tract 202; King County; Washington,610,406
53033020301,Census Tract 203.01; King County; Washington,1044,458
53033020302,Census Tract 203.02; King County; Washington,563,349
53033020401,Census Tract 204.01; King County; Washington,532,244
53033020402,Census Tract 204.02; King County; Washington,665,331
53033020500,Census Tract 205; King County; Washington,1009,594
53033020600,Census Tract 206; King County; Washington,139,44
53033020700,Census Tract 207; King County; Washington,983,445
53033020800,Census Tract 208; King County; Washington,370,188
53033020900,Census Tract 209; King County; Washington,468,242
53033021000,Census Tract 210; King County; Washington,517,234
53033021100,Census Tract 211; King County; Washington,482,149
53033021300,Census Tract 213; King County; Washington,693,392
53033021400,Census Tract 214; King County; Washington,307,152
53033021500,Census Tract 215; King County; Washington,181,34
53033021600,Census Tract 216; King County; Washington,551,290
53033021701,Census Tract 217.01; King County; Washington,484,261
53033021702,Census Tract 217.02; King County; Washington,1219,508
53033021802,Census Tract 218.02; King County; Washington,906,270
53033021803,Census Tract 218.03; King County; Washington,1356,612
53033021804,Census Tract 218.04; King County; Washington,1089,532
53033021903,Census Tract 219.03; King County; Washington,1551,719
53033021904,Census Tract 219.04; King County; Washington,529,91
53033021905,Census Tract 219.05; King County; Washington,471,273
53033021906,Census Tract 219.06; King County; Washington,522,166
53033022001,Census Tract 220.01; King County; Washington,954,460
53033022003,Census Tract 220.03; King County; Washington,728,284
53033022005,Census Tract 220.05; King County; Washington,712,304
53033022006,Census Tract 220.06; King County; Washington,671,119
53033022101,Census Tract 221.01; King County; Washington,279,113
53033022102,Census Tract 221.02; King County; Washington,489,138
53033022201,Census Tract 222.01; King County; Washington,622,250
53033022203,Census Tract 222.03; King County; Washington,666,197
53033022204,Census Tract 222.04; King County; Washington,382,98
53033022205,Census Tract 222.05; King County; Washington,1262,402
53033022300,Census Tract 223; King County; Washington,73,9
53033022401,Census Tract 224.01; King County; Washington,679,285
53033022402,Census Tract 224.02; King County; Washington,1413,464
53033022501,Census Tract 225.01; King County; Washington,438,150
53033022502,Census Tract 225.02; King County; Washington,1183,419
53033022603,Census Tract 226.03; King County; Washington,789,419
53033022604,Census Tract 226.04; King County; Washington,340,63
53033022605,Census Tract 226.05; King County; Washington,1577,559
53033022606,Census Tract 226.06; King County; Washington,689,330
53033022701,Census Tract 227.01; King County; Washington,1007,282
53033022702,Census Tract 227.02; King County; Washington,277,109
53033022703,Census Tract 227.03; King County; Washington,209,57
53033022802,Census Tract 228.02; King County; Washington,891,165
53033022803,Census Tract 228.03; King County; Washington,2908,666
53033022804,Census Tract 228.04; King County; Washington,1852,587
53033022805,Census Tract 228.05; King County; Washington,995,94
53033022901,Census Tract 229.01; King County; Washington,179,34
53033022902,Census Tract 229.02; King County; Washington,656,138
53033023000,Census Tract 230; King County; Washington,1264,245
53033023100,Census Tract 231; King County; Washington,372,21
53033023201,Census Tract 232.01; King County; Washington,1629,508
53033023202,Census Tract 232.02; King County; Washington,1065,486
53033023300,Census Tract 233; King County; Washington,610,61
53033023401,Census Tract 234.01; King County; Washington,642,186
53033023403,Census Tract 234.03; King County; Washington,329,95
53033023404,Census Tract 234.04; King County; Washington,230,67
53033023500,Census Tract 235; King County; Washington,531,172
53033023601,Census Tract 236.01; King County; Washington,1039,420
53033023603,Census Tract 236.03; King County; Washington,1766,748
53033023604,Census Tract 236.04; King County; Washington,1296,460
53033023701,Census Tract 237.01; King County; Washington,651,111
53033023702,Census Tract 237.02; King County; Washington,658,155
53033023801,Census Tract 238.01; King County; Washington,887,193
53033023805,Census Tract 238.05; King County; Washington,1972,376
53033023806,Census Tract 238.06; King County; Washington,2233,547
53033023807,Census Tract 238.07; King County; Washington,2915,508
53033023808,Census Tract 238.08; King County; Washington,1626,363
53033023901,Census Tract 239.01; King County; Washington,764,295
53033023902,Census Tract 239.02; King County; Washington,119,0
53033024001,Census Tract 240.01; King County; Washington,551,185
53033024002,Census Tract 240.02; King County; Washington,819,250
53033024100,Census Tract 241; King County; Washington,108,13
53033024200,Census Tract 242; King County; Washington,216,40
53033024301,Census Tract 243.01; King County; Washington,1850,668
53033024302,Census Tract 243.02; King County; Washington,344,248
53033024400,Census Tract 244; King County; Washington,792,306
53033024500,Census Tract 245; King County; Washington,198,33
53033024601,Census Tract 246.01; King County; Washington,135,44
53033024602,Census Tract 246.02; King County; Washington,45,0
53033024701,Census Tract 247.01; King County; Washington,417,157
53033024703,Census Tract 247.03; King County; Washington,328,43
53033024704,Census Tract 247.04; King County; Washington,361,237
53033024800,Census Tract 248; King County; Washington,768,259
53033024901,Census Tract 249.01; King County; Washington,194,57
53033024902,Census Tract 249.02; King County; Washington,165,38
53033024904,Census Tract 249.04; King County; Washington,74,40
53033024905,Census Tract 249.05; King County; Washington,96,46
53033025001,Census Tract 250.01; King County; Washington,753,408
53033025005,Census Tract 250.05; King County; Washington,1070,388
53033025006,Census Tract 250.06; King County; Washington,695,292
53033025007,Census Tract 250.07; King County; Washington,771,416
53033025008,Census Tract 250.08; King County; Washington,135,14
53033025101,Census Tract 251.01; King County; Washington,857,424
53033025103,Census Tract 251.03; King County; Washington,405,148
53033025104,Census Tract 251.04; King County; Washington,150,50
53033025201,Census Tract 252.01; King County; Washington,381,235
53033025202,Census Tract 252.02; King County; Washington,766,304
53033025302,Census Tract 253.02; King County; Washington,2374,1366
53033025303,Census Tract 253.03; King County; Washington,1472,696
53033025304,Census Tract 253.04; King County; Washington,673,150
53033025401,Census Tract 254.01; King County; Washington,1125,608
53033025402,Census Tract 254.02; King County; Washington,853,442
53033025500,Census Tract 255; King County; Washington,1050,719
53033025601,Census Tract 256.01; King County; Washington,798,369
53033025602,Census Tract 256.02; King County; Washington,97,0
53033025702,Census Tract 257.02; King County; Washington,247,85
53033025703,Census Tract 257.03; King County; Washington,1231,654
53033025704,Census Tract 257.04; King County; Washington,826,212
53033025803,Census Tract 258.03; King County; Washington,884,583
53033025804,Census Tract 258.04; King County; Washington,252,79
53033025805,Census Tract 258.05; King County; Washington,803,326
53033025806,Census Tract 258.06; King County; Washington,796,292
53033026001,Census Tract 260.01; King County; Washington,372,202
53033026003,Census Tract 260.03; King County; Washington,1251,878
53033026004,Census Tract 260.04; King County; Washington,489,303
53033026101,Census Tract 261.01; King County; Washington,791,326
53033026102,Census Tract 261.02; King County; Washington,665,460
53033026200,Census Tract 262; King County; Washington,2139,758
53033026300,Census Tract 263; King County; Washington,198,88
53033026400,Census Tract 264; King County; Washington,1188,705
53033026500,Census Tract 265; King County; Washington,906,492
53033026600,Census Tract 266; King County; Washington,228,108
53033026700,Census Tract 267; King County; Washington,588,284
53033026801,Census Tract 268.01; King County; Washington,1160,723
53033026802,Census Tract 268.02; King County; Washington,885,488
53033027000,Census Tract 270; King County; Washington,361,144
53033027100,Census Tract 271; King County; Washington,783,350
53033027200,Census Tract 272; King County; Washington,452,268
53033027300,Census Tract 273; King County; Washington,748,260
53033027400,Census Tract 274; King County; Washington,563,287
53033027500,Census Tract 275; King County; Washington,662,305
53033027600,Census Tract 276; King County; Washington,759,450
53033027701,Census Tract 277.01; King County; Washington,452,213
53033027702,Census Tract 277.02; King County; Washington,381,137
53033027800,Census Tract 278; King County; Washington,115,27
53033027901,Census Tract 279.01; King County; Washington,450,189
53033027902,Census Tract 279.02; King County; Washington,1381,690
53033028000,Census Tract 280; King County; Washington,1101,558
53033028100,Census Tract 281; King County; Washington,604,295
53033028200,Census Tract 282; King County; Washington,1202,690
53033028300,Census Tract 283; King County; Washington,657,294
53033028402,Census Tract 284.02; King County; Washington,1296,674
53033028403,Census Tract 284.03; King County; Washington,1515,791
53033028500,Census Tract 285; King County; Washington,742,327
53033028600,Census Tract 286; King County; Washington,460,226
53033028700,Census Tract 287; King County; Washington,159,42
